article_id,title,journal,pub_year,times_cited,doi,study_type_2,fieldstudy_country,affiliation,affiliation_country
719,Extent of Mangrove Nursery Habitats Determines the Geographic Distribution of a Coral Reef Fish in a South-Pacific Archipelago,PLOS ONE,2014,5,10.1371/journal.pone.0105158,Field-based,New Caledonia,"IRD, Lab Excellence LABEX Corail, CoReUs UR227, Noumea, UNC, LIVE EA4243, Noumea",New Caledonia
720,Long-term trends in invertebrate-habitat relationships under protected and fished conditions,MARINE BIOLOGY,2014,2,10.1007/s00227-014-2462-2,Field-based,Australia,"EAWAG Swiss Fed Inst Aquat Sci & Technol, Dept Fish Ecol & Evolut, Ctr Ecol Evolut & Biogeochem, CH-6047 Kastanienbaum, Univ Bern, Inst Ecol & Evolut, Div Aquat Ecol & Evolut, CH-3012 Bern, Univ Tasmania, Inst Marine & Antarctic Studies, Hobart, Tas 7001","Switzerland, Australia"
722,Population Connectivity Shifts at High Frequency within an Open-Coast Marine Protected Area Network,PLOS ONE,2014,7,10.1371/journal.pone.0103654,Field-based,United States,"NOAA, Atlantic Oceanog & Meteorol Lab, Miami, Univ Miami, Rosenstiel Sch Marine & Atmospher Sci, Cooperat Inst Marine & Atmospher Studies, Miami",United States
725,Sediment and Turbidity Associated with Offshore Dredging Increase Coral Disease Prevalence on Nearby Reefs,PLOS ONE,2014,67,10.1371/journal.pone.0102498,Field-based,Australia,"Australian Inst Marine Sci, AIMS JCU, Townsville, Qld 4810, Australian Inst Marine Sci, Townsville, Qld 4810, James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Sch Marine & Trop Biol, Townsville, Qld 4811, James Cook Univ, Townsville, Qld 4811",Australia
726,Local genomic adaptation of coral reef-associated microbiomes to gradients of natural variability and anthropogenic stressors,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2014,66,10.1073/pnas.1403319111,Field-based,Kiribati,"San Diego State Univ, Dept Biol, San Diego",United States
726,Local genomic adaptation of coral reef-associated microbiomes to gradients of natural variability and anthropogenic stressors,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2014,66,10.1073/pnas.1403319111,Field-based,United States,"San Diego State Univ, Dept Biol, San Diego",United States
727,"Coral Reef Community Composition in the Context of Disturbance History on the Great Barrier Reef, Australia",PLOS ONE,2014,20,10.1371/journal.pone.0101204,Field-based,Australia,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811",Australia
729,Transmission distance of chemical cues from coral habitats: implications for marine larval settlement in context of reef degradation,MARINE BIOLOGY,2014,12,10.1007/s00227-014-2451-5,Field-based,Japan,"CRIOBE, USR CNRS EPHE 3278, Papetoai 98729, Moorea, Lab Excellence CORAIL, Moorea 98729",French Polynesia
734,Long-lived groupers require structurally stable reefs in the face of repeated climate change disturbances,CORAL REEFS,2014,11,10.1007/s00338-013-1117-y,Field-based,India,"Nat Conservat Fdn, Mysore 570002, Karnataka",India
735,"Fishes associated with mesophotic coral ecosystems in La Parguera, Puerto Rico",CORAL REEFS,2014,46,10.1007/s00338-014-1125-6,Field-based,Puerto Rico,"Univ Puerto Rico, Dept Marine Sci, Mayaguez",United States
