article_id,title,journal,pub_year,times_cited,doi,study_type_2,affiliation,affiliation_country,affiliation_airport,affiliation_airport_code,fieldstudy_country,field_study_location,field_airport,field_airport_code
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados",,,Belize,,,
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados",,,Honduras,,,
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados",,,Saint Kitts and Nevis,,,
108,Bioaccumulation of trace metals in octocorals depends on age and tissue compartmentalization,PLOS ONE,2018,1,10.1371/journal.pone.0196222,Field-based,"Natl Taiwan Ocean Univ, Inst Marine Biol, Keelung",Taiwan,,,"Taiwan, Province Of China",,,
113,"Variation in social systems within Chaetodon butterflyfishes, with special reference to pair bonding",PLOS ONE,2018,1,10.1371/journal.pone.0194465,Field-based,"James Cook Univ, Australian Res Council Ctr Excellence Coral Reef, Townsville, Qld, Stanford Univ, Dept Biol, Stanford","Australia, United States",Townsville,TSV,Australia,northern Great Barrier Reef,Cairns,CNS
114,Anemone bleaching increases the metabolic demands of symbiont anemonefish,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,0,10.1098/rspb.2018.0282,Field-based,"Univ Glasgow, Inst Biodivers Anim Hlth & Comparat Med, Graham Kerr Bldg, Glasgow G12 8QQ, Lanark",United Kingdom,Glasgow,GLA,French Polynesia,"Opunohu Bay, Moorea",Fa'a'ā International Airport,PPT
115,The trophic ecology of Caribbean reef sharks (Carcharhinus perezi) relative to other large teleost predators on an isolated coral atoll,MARINE BIOLOGY,2018,1,10.1007/s00227-018-3322-2,Field-based,"Florida Int Univ, Dept Biol Sci, 3000 NE 151st St, North Miami, SUNY Stony Brook, Sch Marine & Atmospher Sci, Stony Brook",United States,Miami,MIA,Belize,Belize,Philip S. W. Goldson International Airport,BZE
116,Responses of coral reef community metabolism in flumes to ocean acidification,MARINE BIOLOGY,2018,1,10.1007/s00227-018-3324-0,Field-based,"Calif State Univ Northridge, Dept Biol, 18111 Nordhoff St, Northridge",United States,Northridge,LAX,French Polynesia,Moorea,Fa'a'ā International Airport,PPT
121,Mobile marine predators: an understudied source of nutrients to coral reefs in an unfished atoll,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,3,10.1098/rspb.2017.2456,Field-based,"Imperial Coll London, Dept Life Sci, Silwood Pk Campus,Buckhurst Rd, Ascot SL5 7PY, Berks",United Kingdom,Berks,RDG,United States,Kiribati,Bonriki International Airport,TRW
123,Cleaner wrasse indirectly affect the cognitive performance of a damselfish through ectoparasite removal,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,1,10.1098/rspb.2017.2447,Field-based,"Univ Montreal, Dept Sci Biol, Montreal, PQ, Univ Neuchatel, Inst Biol, Neuchatel, Univ Queensland, Sch Biol Sci, St Lucia, Qld","Canada, Switzerland, Australia",,BNE,Australia,,,
125,"Shifting gears: Diversification, intensification, and effort increases in small-scale fisheries (1950-2010)",PLOS ONE,2018,1,10.1371/journal.pone.0190232,Field-based,"Univ British Columbia, Forest & Conservat Sci, Vancouver, BC, Univ British Columbia, Inst Oceans & Fisheries, Project Seahorse, Vancouver, BC",Canada,Vancouver,YVR,Philippines,Danajon Bank,Tagbilaran Airport,TAG
129,Funding Conservation Locally: Insights from Behavioral Experiments in Indonesia,CONSERVATION LETTERS,2018,1,10.1111/conl.12378,Field-based,"Jacobs Univ, Dept Econ & Business, Bremen, Leibniz Ctr Trop Marine Res ZMT, Bremen",Germany,Bremen,BRE,Indonesia,South East Sulawesi,Haluoleo Airport,KDI
133,Complete and rapid reversal of the body color pattern in juveniles of the convict surgeonfish Acanthurus triostegus at Moorea Island (French Polynesia),CORAL REEFS,2018,1,10.1007/s00338-017-1631-4,Field-based,"PSL Res Univ, EPHE, UPVD, CNRS,USR3278,CRIOBE, BP 1013, F-98729 Moorea, French Polynesi, UPMC, UMR7232, CNRS, OOB, 1 Ave Pierre Fabre, F-66650 Banyuls Sur Mer",France,Moorea,MOZ,French Polynesia,Moorea,Fa'a'ā International Airport,PPT
134,Benthic habitat and fish assemblage structure from shallow to mesophotic depths in a storm-impacted marine protected area,CORAL REEFS,2018,2,10.1007/s00338-017-1635-0,Field-based,"James Cook Univ, Coll Sci & Engn, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, Silliman Univ, Angelo King Ctr Res & Environm Management, Dumaguete 6200, Negros","Australia, Philippines",Townsville,TSV,Philippines,Dumaguete,Dumaguete Airport,DGT
135,Multiscale change in reef coral species diversity and composition in the Tropical Eastern Pacific,CORAL REEFS,2018,0,10.1007/s00338-017-1637-y,Field-based,"McGill Univ, Dept Biol, 1205 Docteur Penfield, Montreal, PQ H3A 1B1, Smithsonian Trop Res Inst, POB 0843-03092, Balboa, Ancon","Canada, Panama",Montreal,YUL,Panama,Gulf of Panama,"Río Hato Airport,",RIH
142,Long-term growth rates and effects of bleaching in Acropora hyacinthus,CORAL REEFS,2018,1,10.1007/s00338-018-1656-3,Field-based,"Univ Calif Los Angeles, Dept Ecol & Evolutionary Biol, Los Angeles",United States,,,American Samoa,,,
143,"The relative importance of regional, local, and evolutionary factors structuring cryptobenthic coral-reef assemblages",CORAL REEFS,2018,3,10.1007/s00338-018-1657-2,Field-based,"World Wildlife Fund, Oceans Conservat, 1250 24th St NW, Washington",United States,,,French Polynesia,,,
143,"The relative importance of regional, local, and evolutionary factors structuring cryptobenthic coral-reef assemblages",CORAL REEFS,2018,3,10.1007/s00338-018-1657-2,Field-based,"World Wildlife Fund, Oceans Conservat, 1250 24th St NW, Washington",United States,Washington,IAD,Indonesia,Federated States of Micronesia,Pohnpei International Airport,PNI
143,"The relative importance of regional, local, and evolutionary factors structuring cryptobenthic coral-reef assemblages",CORAL REEFS,2018,3,10.1007/s00338-018-1657-2,Field-based,"World Wildlife Fund, Oceans Conservat, 1250 24th St NW, Washington",United States,,,"Micronesia, Federated States of",,,
145,Shifted Baselines Reduce Willingness to Pay for Conservation,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00048,Field-based,"Colby Coll, Environm Studies Program, Waterville",United States,,,Japan,,,
146,Coral reef fishes exhibit beneficial phenotypes inside marine protected areas,PLOS ONE,2018,0,10.1371/journal.pone.0193426,Field-based,"Florida Inst Technol, Dept Biol Sci, Melbourne",United States,Melbourne,MEL,Philippines,Luzon,Clark International Airport,CRK
150,"Contrasting Responses in the Niches of Two Coral Reef Herbivores Along a Gradient of Habitat Disturbance in the Spermonde Archipelago, Indonesia",FRONTIERS IN MARINE SCIENCE,2018,1,10.3389/fmars.2018.00032,Field-based,"Leibniz Ctr Trop Marine Res, Bremen, Tech Univ Denmark, Ctr Ocean Life, Charlottenlund","Germany, Denmark",,,Indonesia,,,
151,"Spatio-Temporal Patterns in the Coral Reef Communities of the Spermonde Archipelago, 2012-2014, II: Fish Assemblages Display Structured Variation Related to Benthic Condition",FRONTIERS IN MARINE SCIENCE,2018,4,10.3389/fmars.2018.00036,Field-based,"Leibniz Ctr Trop Marine Res ZMT, Ecol Dept, Bremen, Tech Univ Denmark, Natl Inst Aquat Resources DTU Aqua, Ctr Ocean Life, Lyngby, Univ Bremen, Fac Biol & Chem FB2, Bremen","Germany, Denmark",,,Indonesia,,,
152,"Spatio-Temporal Patterns in Coral Reef Communities of the Spermonde Archipelago, 2012-2014, I: Comprehensive Reef Monitoring of Water and Benthic Indicators Reflect Changes in Reef Health",FRONTIERS IN MARINE SCIENCE,2018,5,10.3389/fmars.2018.00033,Field-based,"Leibniz Ctr Trop Marine Res, Bremen",Germany,,,Indonesia,,,
154,Seasonal dynamics of the juvenile fish community structure in the Maowei Sea mangroves,PLOS ONE,2018,0,10.1371/journal.pone.0192426,Field-based,"Guangxi Univ, Nanning, Guangxi Provinc, Guilin Univ Technol, Coll Environm Sci & Engn, Guilin, Guangxi Provinc",Peoples R China,,,China,,,
156,Winners and Losers in Area-Based Management of a Small-Scale Fishery in the Colombian Pacific,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00023,Field-based,"Fdn Talking Oceans, Bogota, Univ York, Environm Dept, York, N Yorkshire","Colombia, United Kingdom",Bogota,BOG,Colombia,Northern Chocó,José Celestino Mutis Airport,BSC
