article_id,title,journal,pub_year,times_cited,doi,study_type_2,affiliation,affiliation_country,affiliation_airport,affiliation_airport_code,fieldstudy_country,field_study_location,field_airport,field_airport_code
64,Strong effects of coral species on the diversity and structure of reef fish communities: A multi-scale analysis,PLOS ONE,2018,0,10.1371/journal.pone.0202206,Field-based,"Inst Marine Res, Pelag Grp, Bergen, James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld, James Cook Univ, Coll Marine & Environm Sci, Townsville, Qld, Univ Melbourne, Dept Zool, Melbourne, Vic","Norway, Australia",Bergen,TSV,Australia,Great Barrier Reef,Cairns,CNS
65,Spongivory by Fishes on Southwestern Atlantic Coral Reefs: No Evidence of Top-Down Control on Sponge Assemblages,FRONTIERS IN MARINE SCIENCE,2018,1,10.3389/fmars.2018.00256,Field-based,"Univ Fed Bahia, Inst Biol, Lab Ecol Bentonica, CIENAM,Programa Posgrad Ecol & Biomonitoramento, Salvador, BA",Brazil,NA,NA,Brazil,NA,NA,NA
66,Depth patterns in microhabitat versatility and selectivity in coral reef damselfishes,MARINE BIOLOGY,2018,2,10.1007/s00227-018-3396-x,Field-based,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, James Cook Univ, Coll Sci & Engn, Marine Biol & Aquaculture Sci, Townsville, Qld 4811",Australia,Townsville,TSV,Papua New Guinea,Kimbe Bay,Hoskin Airport,HKN
67,Comparative phylogeography of widespread and endemic damselfishes in the Hawaiian Archipelago,MARINE BIOLOGY,2018,0,10.1007/s00227-018-3395-y,Field-based,"Univ Calif Santa Cruz, Dept Ecol & Evolutionary Biol, Santa Cruz",United States,Santa Cruz,SPC,United States,Hawaiian Archapelago,Honolulu International Airport (HNL,HNL
69,"Predicting vulnerability to management changes in data-limited, small-scale fisheries",MARINE POLICY,2018,0,10.1016/j.marpol.2018.04.013,Field-based,"Fdn Talking Oceans, Carrera 16,127-81, Bogota 110121, Smithsonian Marine Stn Ft Pierce, Ft Pierce","Colombia, United States",NA,NA,Colombia,NA,NA,NA
70,Bigeye tuna catch limits lead to differential impacts for Hawai'i longliners,MARINE POLICY,2018,0,10.1016/j.marpol.2018.04.032,Field-based,"JIMAR, 1000 Pope Rd,Marine Sci Bldg 312, Honolulu, NOAA, Pacific Isl Fisheries Sci Ctr, Natl Marine Fisheries Serv, 1845 Wasp Blvd,Bldg 176, Honolulu",United States,NA,NA,United States,NA,NA,NA
76,Soft corals are significant DMSP producers in tropical and temperate reefs,MARINE BIOLOGY,2018,1,10.1007/s00227-018-3367-2,Field-based,"Univ Technol Sydney, Climate Change Cluster, POB 123, Broadway, NSW 2007",Australia,Sydney,SYD,Australia,Gladstone,Gladstone Airport,GLT
77,Clipperton Atoll as a model to study small marine populations: Endemism and the genomic consequences of small population size,PLOS ONE,2018,0,10.1371/journal.pone.0198901,Field-based,"Cabrillo Coll, Dept Biol, Aptos",United States,NA,NA,United Kingdom,NA,NA,NA
80,Resilience in carbonate production despite three coral bleaching events in 5 years on an inshore patch reef in the Florida Keys,MARINE BIOLOGY,2018,0,10.1007/s00227-018-3354-7,Field-based,"NOAA, AOML, 4301 Rickenbacker Cswy, Miami",United States,Miami,MIA,United States,Florida Keys,Key West International Airport,EYW
81,An outbreak of sea cucumbers hinders coral recruitment,CORAL REEFS,2018,0,10.1007/s00338-017-1654-x,Field-based,"Chinese Acad Sci, South China Sea Inst Oceanol, Key Lab Trop Marine Bioresources & Ecol, Guangdong Prov Key Lab Appl Marine Biol, 164 Xingang West Rd, Guangzhou 510301, Guangdong",Peoples R China,NA,NA,China,NA,NA,NA
82,Assessing the spatial distribution of coral bleaching using small unmanned aerial systems,CORAL REEFS,2018,1,10.1007/s00338-018-1662-5,Field-based,"Univ Hawaii Manoa, Appl Res Lab, Honolulu",United States,Honolulu,HNL,United States,KAne'ohe Bay,Honolulu International Airport,HNL
83,The Pulley Ridge deep reef is not a stable refugia through time,CORAL REEFS,2018,1,10.1007/s00338-018-1664-3,Field-based,"Natl Inst Undersea Sci & Technol, Oxford, Univ Mississippi, Dept Biomol Sci, Oxford",United States,Oxford,OXF,United States,Florida Keys,Key West International Airport,EYW
84,Coral larvae change their settlement preference for crustose coralline algae dependent on availability of bare space,CORAL REEFS,2018,1,10.1007/s00338-018-1665-2,Field-based,"CIEE Res Stn Bonaire, Kralendijk, Victoria Univ Wellington, Sch Biol Sci, POB 600, Wellington 6140","Bonaire, New Zealand",Bonaire,BON,United States,Honolulu,Honolulu International Airport,HNL
85,"Early-phase dynamics in coral recovery following cyclone disturbance on the inshore Great Barrier Reef, Australia",CORAL REEFS,2018,1,10.1007/s00338-018-1668-z,Field-based,"Australian Inst Marine Sci, PMB 3 Townsville MC, Townsville, Qld 4810",Australia,Townsville,TSV,Australia,Townsville,Townsville Airport,TSV
86,"Meteorologic, oceanographic, and geomorphic controls on circulation and residence time in a coral reef-lined embayment: Faga'alu Bay, American Samoa",CORAL REEFS,2018,0,10.1007/s00338-018-1671-4,Field-based,"US Geol Survey, Pacific Coastal & Marine Sci Ctr, Santa Cruz",United States,Santa Cruz,SPC,American Samoa,Pago Pago International Airport,Pago Pago International Airport,PPG
87,"Influence of prior residents on settlement preferences in the anemonefish, Premnas biaculeatus",CORAL REEFS,2018,0,10.1007/s00338-018-1676-z,Field-based,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, James Cook Univ, Coll Sci & Engn, Marine Biol & Aquaculture, Townsville, Qld 4811, Univ Delaware, Sch Marine Sci & Policy, 700 Pilottown Rd, Lewes","Australia, United States",NA,TSV,Australia,NA,NA,NA
87,"Influence of prior residents on settlement preferences in the anemonefish, Premnas biaculeatus",CORAL REEFS,2018,0,10.1007/s00338-018-1676-z,Field-based,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, James Cook Univ, Coll Sci & Engn, Marine Biol & Aquaculture, Townsville, Qld 4811, Univ Delaware, Sch Marine Sci & Policy, 700 Pilottown Rd, Lewes","Australia, United States",NA,TSV,Papua New Guinea,NA,NA,NA
90,Snapping shrimp sound production patterns on Caribbean coral reefs: relationships with celestial cycles and environmental variables,CORAL REEFS,2018,1,10.1007/s00338-018-1684-z,Field-based,"Woods Hole Oceanog Inst, Woods Hole",United States,Woods Hole,BOS,United States Virgin Islands,St. John,Cyril E. King Airport,STT
91,"Tube microstructure and formation in some feather duster worms (Polychaeta, Sabellidae)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3357-4,Field-based,"Univ Tartu, Inst Ecol & Earth Sci, Ravila 14A, EE-50411 Tartu",Estonia,NA,NA,Indonesia,NA,NA,NA
91,"Tube microstructure and formation in some feather duster worms (Polychaeta, Sabellidae)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3357-4,Field-based,"Univ Tartu, Inst Ecol & Earth Sci, Ravila 14A, EE-50411 Tartu",Estonia,Tartu,TAY,Mexico,"Vera Cruz, Gulf of Mexico",Veracruz General Jara,VER
91,"Tube microstructure and formation in some feather duster worms (Polychaeta, Sabellidae)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3357-4,Field-based,"Univ Tartu, Inst Ecol & Earth Sci, Ravila 14A, EE-50411 Tartu",Estonia,NA,NA,Poland,NA,NA,NA
92,Wind Conditions on the Great Barrier Reef Influenced the Recruitment of Snapper (Lutjanus carponotatus),FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00193,Field-based,"Australian Res Council, Ctr Excellence Coral Reef Studies, Townsville, Qld, James Cook Univ, Coll Sci & Engn, Reef & Ocean Ecol Lab, Townsville, Qld",Australia,Townsville,TSV,Australia,Gladstone,Gladstone Airport,GLT
95,Ocean acidification alters early successional coral reef communities and their rates of community metabolism,PLOS ONE,2018,1,10.1371/journal.pone.0197130,Field-based,"Australian Inst Marine Sci, Townsville, Qld",Australia,Townsville,TSV,Papua New Guinea,Milne Bay Province,Gurney Airport,GUR
96,The Dynamics of Coral-Algal Interactions in Space and Time on the Southern Great Barrier Reef,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00181,Field-based,"Univ Queensland, ARC Ctr Excellence Coral Reef Studies, St Lucia, Qld, Univ Queensland, Global Change Inst, St Lucia, Qld, Univ Queensland, Sch Biol Sci, Coral Reef Ecosyst Lab, St Lucia, Qld",Australia,Brisbane,BNE,Australia,southern Great Barrier Reef,Cairns,CNS
99,Coral Reef Carbonate Chemistry Variability at Different Functional Scales,FRONTIERS IN MARINE SCIENCE,2018,1,10.3389/fmars.2018.00175,Field-based,"Monterey Bay Aquarium Res Inst, Moss Landing",United States,Moss Landing,WVI,Bermuda,Baileys Bay,L.F Wade International Airport,BDA
101,Habitat degradation negatively affects auditory settlement behavior of coral reef fishes,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,2,10.1073/pnas.1719291115,Field-based,"Univ Exeter, Coll Life & Environm Sci, Biosci, Exeter EX4 4QD, Devon",United Kingdom,Devon,EXT,Australia,Cooktown,Cooktown Airport,CTN
104,Corals in Healthy Populations Produce More Larvae Per Unit Cover,CONSERVATION LETTERS,2018,3,10.1111/conl.12410,Field-based,"Univ Calif San Diego, Scripps Inst Oceanog, Ctr Marine Biodivers & Conservat, La Jolla",United States,San Diego,SAN,Curacao,Curaçao,Curaçao International Airport,CUR
